Timestape(s): 0.000
Vehicle Name: Car A - Sudan, Position 1_X(ft): 0.62, Position 1_Y(ft): 0.23, Position 1_Z(ft): -6.17, Vel 1_X(mph): 0.00, Vel 1_Y(mph): 0.00, Vel 1_Z(mph): 0.00, Vel 1_Speed(mph): 0.00
Vehicle Name: Car B - Sudan, Position 2_X(ft): 0.62, Position 2_Y(ft): 0.23, Position 2_Z(ft): -41.15, Vel 2_X(mph): 0.00, Vel 2_Y(mph): 0.00, Vel 2_Z(mph): 0.00, Vel 2_Speed(mph): 60.00
Collision: NO

Timestape(s): 0.020
Vehicle Name: Car A - Sudan, Position 1_X(ft): 0.62, Position 1_Y(ft): 0.22, Position 1_Z(ft): -6.17, Vel 1_X(mph): 0.00, Vel 1_Y(mph): 0.00, Vel 1_Z(mph): 0.00, Vel 1_Speed(mph): 0.00
Vehicle Name: Car B - Sudan, Position 2_X(ft): 0.62, Position 2_Y(ft): 0.22, Position 2_Z(ft): -40.95, Vel 2_X(mph): 0.00, Vel 2_Y(mph): 0.00, Vel 2_Z(mph): 60.00, Vel 2_Speed(mph): 60.00
Collision: NO

Timestape(s): 0.040
Vehicle Name: Car A - Sudan, Position 1_X(ft): 0.62, Position 1_Y(ft): 0.22, Position 1_Z(ft): -6.17, Vel 1_X(mph): 0.00, Vel 1_Y(mph): 0.00, Vel 1_Z(mph): 0.00, Vel 1_Speed(mph): 0.00
Vehicle Name: Car B - Sudan, Position 2_X(ft): 0.62, Position 2_Y(ft): 0.22, Position 2_Z(ft): -40.75, Vel 2_X(mph): 0.00, Vel 2_Y(mph): 0.00, Vel 2_Z(mph): 60.00, Vel 2_Speed(mph): 60.00
Collision: NO

Timestape(s): 0.060
Vehicle Name: Car A - Sudan, Position 1_X(ft): 0.62, Position 1_Y(ft): 0.22, Position 1_Z(ft): -6.17, Vel 1_X(mph): 0.00, Vel 1_Y(mph): 0.00, Vel 1_Z(mph): 0.00, Vel 1_Speed(mph): 0.00
Vehicle Name: Car B - Sudan, Position 2_X(ft): 0.62, Position 2_Y(ft): 0.22, Position 2_Z(ft): -40.56, Vel 2_X(mph): 0.00, Vel 2_Y(mph): 0.00, Vel 2_Z(mph): 60.00, Vel 2_Speed(mph): 60.00
Collision: NO

Timestape(s): 0.080
Vehicle Name: Car A - Sudan, Position 1_X(ft): 0.62, Position 1_Y(ft): 0.21, Position 1_Z(ft): -6.17, Vel 1_X(mph): 0.00, Vel 1_Y(mph): 0.00, Vel 1_Z(mph): 0.00, Vel 1_Speed(mph): 0.00
Vehicle Name: Car B - Sudan, Position 2_X(ft): 0.62, Position 2_Y(ft): 0.21, Position 2_Z(ft): -40.36, Vel 2_X(mph): 0.00, Vel 2_Y(mph): 0.00, Vel 2_Z(mph): 60.00, Vel 2_Speed(mph): 60.00
Collision: NO

Timestape(s): 0.100
